account_id,account_number,customer_id,account_type,account_balance,credit_score
1,WDUJ47541544503108,12965,Checking,1308.73,697
2,LJPD87455810012492,25110,Checking,3496.0,665
3,AFZD50219663545909,4990,Checking,3368.97,640
4,OIYC63187881279986,10229,Savings,1885.96,740
5,VHKN75252656866268,11596,Checking,2590.81,763
6,PNMF54359767732833,7551,Credit,3589.14,622
7,RCLJ93048599446253,25126,Credit,2976.7,688
8,QGDA94315382269221,24734,Credit,3300.62,766
9,GPAV60309280377709,20981,Credit,2087.4,629
10,THIZ63422709352974,28181,Savings,1468.28,639
11,KIJZ91502681180840,6388,Savings,3012.73,731
12,UEBU41608544465279,7693,Checking,4413.87,680
13,SLVN34848046792086,759,Credit,247.87,639
14,ZNFV71688939543255,6866,Savings,914.53,701
15,TEIF21518150116743,11174,Checking,2738.1,632
16,VFNR97127168552924,25208,Credit,4831.22,731
17,DVQU37867018803648,13181,Savings,3472.19,700
18,QUEL65258538202832,18316,Checking,117.23,690
19,TKOH14689639356760,18532,Credit,1276.27,706
20,JRWK91565792548296,2074,Checking,781.23,648
21,MVDH92073823425784,27226,Credit,3328.47,799
22,VEJB00245929856585,22499,Credit,2399.49,721
23,YFQJ55400067447094,21887,Credit,524.92,739
24,HRLN84255627005534,3405,Checking,1635.98,681
25,NTET19540256455101,3405,Credit,4783.37,764
26,VHMO90212907430030,6796,Credit,3409.55,685
27,HHLQ77758879438629,12131,Credit,2878.98,781
28,QNUL23928113840343,9712,Credit,604.3,634
29,OFNS25714634688349,15983,Savings,2832.19,726
30,QOJN17328889392623,9357,Savings,1067.68,677
31,VKKF63725515610371,1511,Checking,1196.6,677
32,GMLK83670662935445,6408,Savings,1886.8,700
33,GPKF40765049307448,6504,Checking,403.51,672
34,CJWG74103075642279,23036,Credit,136.16,756
35,TUFK86421811152806,837,Credit,2059.21,741
36,NKDX64857208052770,26098,Savings,3575.95,757
37,KZRI42220870596188,16924,Savings,2285.38,707
